id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
6169380,310,10359874,Private room,Italy,Bologna,,Porto - Saragozza,37,4.5,2,1,1,40,3,,2016-02-07 07:08:30.496469,44.497058,11.340375,0101000020E610000083C0CAA145AE26408B1BB7989F3F4640
1181770,310,5058454,Entire home/apt,Italy,Bologna,,Porto - Saragozza,5,4.5,2,1,1,80,2,,2016-02-07 07:08:25.968333,44.498876,11.343298,0101000020E61000007E9065C1C4AF26403161342BDB3F4640
4268303,310,21432831,Entire home/apt,Italy,Bologna,,Porto - Saragozza,29,4.5,3,1,1,98,2,,2016-02-07 07:08:17.671933,44.49464,11.342295,0101000020E61000002C2B4D4A41AF26408FA50F5D503F4640
9690694,310,50051152,Private room,Italy,Bologna,,Santo Stefano,9,4.5,2,1,1,24,1,,2016-02-07 07:08:07.706433,44.477267,11.376133,0101000020E61000008AE42B8194C02640E23AC615173D4640
3816881,310,14585163,Private room,Italy,Bologna,,Porto - Saragozza,10,4.5,3,1,1,76,1,,2016-02-07 07:08:01.630940,44.494576,11.340661,0101000020E61000009A0B5C1E6BAE264079B130444E3F4640
2089697,310,10666527,Entire home/apt,Italy,Bologna,,Santo Stefano,41,4.5,4,1,1,45,3,,2016-02-07 07:07:46.453306,44.491099,11.354377,0101000020E6100000C0E8F2E670B52640950C0055DC3E4640
7816548,310,24901833,Private room,Italy,Bologna,,San Donato - San Vitale,0,,2,1,1,58,1,,2016-02-07 07:07:41.668102,44.502392,11.393089,0101000020E6100000AED51EF642C92640D2E28C614E404640
8882311,310,10192330,Private room,Italy,Bologna,,Porto - Saragozza,15,5,2,1,1,36,1,,2016-02-07 07:07:16.470888,44.49178,11.340882,0101000020E61000001497E31588AE2640D769A4A5F23E4640
2648679,310,13560170,Private room,Italy,Bologna,,Porto - Saragozza,21,4.5,2,1,1,37,1,,2016-02-07 07:07:11.219915,44.490577,11.334654,0101000020E610000080F3E2C457AB2640BC95253ACB3E4640
4603315,310,23855346,Private room,Italy,Bologna,,Santo Stefano,33,5,4,1,1,74,,,2016-02-07 07:07:08.673408,44.491942,11.34891,0101000020E6100000A67EDE54A4B22640B1C398F4F73E4640
