,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,zone
2031,41391171,Aparthotel in Bologna · ★5.0 · 1 bedroom · 1 bed · 1 private bath,21451064,Nataliya,,Santo Stefano,44.49344,11.34414,Private room,248,1,4,2023-04-30,0.19,3,89,2,,Galvani
2032,41400026,Rental unit in Bologna · ★4.86 · 1 bedroom · 2 beds · 1 bath,325615439,Diego,,Porto - Saragozza,44.50025,11.32187,Entire home/apt,87,1,90,2023-06-18,2.16,1,34,41,,Saffi
2033,41402147,Rental unit in Bologna · ★5.0 · 2 bedrooms · 3 beds · 1 bath,286864879,Giuseppe,,Santo Stefano,44.48953,11.348230000000001,Entire home/apt,199,2,8,2023-05-31,0.37,1,202,5,39291/2020,Galvani
2034,41403704,Condo in Bologna · ★5.0 · 2 bedrooms · 3 beds · 1 bath,8981194,Ilenia,,Navile,44.5120981,11.3472205,Entire home/apt,54,2,5,2023-06-11,1.56,1,75,5,,Bolognina
2035,41433175,Rental unit in Bologna · ★4.41 · 1 bedroom · 2 beds · 1 bath,200592620,Edoardo,,Santo Stefano,44.4982,11.34506,Entire home/apt,128,1,74,2023-05-10,1.82,6,188,9,,Irnerio
2036,41464985,Rental unit in Bologna · ★4.99 · 1 bedroom · 2 beds · 1 bath,105466009,Caterina,,Santo Stefano,44.49855,11.35034,Entire home/apt,120,2,147,2023-06-15,3.62,3,238,72,CIR  037006-AT-01686,Irnerio
2037,41470189,Condo in Bologna · ★4.91 · 1 bedroom · 1 bed · 1 bath,326419747,Pietro,,Porto - Saragozza,44.496196999999995,11.337825,Entire home/apt,160,1,46,2023-06-08,1.13,1,57,26,Cod. Reg. 037006-AT-01690,Marconi
2038,41499355,Rental unit in Bologna · 1 bedroom · 2 beds · 1 bath,182236682,Annalisa,,Santo Stefano,44.495490000000004,11.34732,Entire home/apt,210,1,2,2022-07-14,0.05,3,163,1,,Irnerio
2039,41527142,Rental unit in Bologna · ★4.73 · 1 bedroom · 1 bed · 1 bath,132613892,Riccardo,,Santo Stefano,44.487109999999994,11.34323,Entire home/apt,75,2,78,2023-06-21,1.95,2,45,23,,Galvani
2040,41542567,Condo in Bologna · ★4.80 · 1 bedroom · 2 beds · 1 bath,327258630,Design Club Collection,,Porto - Saragozza,44.49841,11.338980000000001,Entire home/apt,188,1,49,2023-05-15,1.34,37,349,7,,Marconi
2041,41544623,Rental unit in Bologna · 4 bedrooms · 6 beds · 4 baths,136592569,Yodit,,Santo Stefano,44.48963,11.35411,Entire home/apt,700,2,0,,,5,135,0,,Galvani
2042,41548820,Rental unit in Bologna · ★4.57 · 2 bedrooms · 1 bed · 1 private bath,28095362,Leonardo,,Santo Stefano,44.50189,11.3527,Private room,55,2,7,2023-03-20,1.57,2,283,7,,Irnerio
2043,41551146,Serviced apartment in Bologna · ★4.79 · 1 bedroom · 2 beds · 1 bath,327258630,Design Club Collection,,Porto - Saragozza,44.498459999999994,11.34037,Entire home/apt,164,1,145,2023-06-12,3.56,37,337,40,,Marconi
2044,41551947,Rental unit in Bologna · ★4.79 · 1 bedroom · 1 bed · 1.5 baths,28095362,Leonardo,,Santo Stefano,44.50062,11.353810000000001,Private room,62,2,19,2023-06-20,3.39,2,227,19,,Irnerio
2045,41573749,Serviced apartment in Bologna · ★4.77 · 1 bedroom · 2 beds · 1 bath,327258630,Design Club Collection,,Porto - Saragozza,44.49834,11.34014,Entire home/apt,212,1,137,2023-05-24,3.38,37,148,27,,Marconi
2046,41576411,Home in Bologna · ★4.33 · 1 bedroom · 2 beds · 1 private bath,4373635,B&B A Casa Mia,,Porto - Saragozza,44.4959,11.330010000000001,Private room,90,1,15,2023-04-30,0.36,4,296,2,037006-BB-00277,Malpighi
2047,41579859,Condo in Bologna · ★4.88 · 1 bedroom · 2 beds · 1 bath,327258630,Design Club Collection,,Porto - Saragozza,44.4984,11.340539999999999,Entire home/apt,193,1,100,2023-03-11,2.46,37,354,14,,Marconi
2048,41580802,Condo in Bologna · ★5.0 · 2 bedrooms · 3 beds · 2 baths,327258630,Design Club Collection,,Porto - Saragozza,44.49718,11.34048,Entire home/apt,425,1,6,2022-11-13,0.17,37,345,3,,Marconi
2049,41582282,Condo in Bologna · ★4.84 · 1 bedroom · 1 bed · 1 bath,327258630,Design Club Collection,,Porto - Saragozza,44.497279999999996,11.33855,Entire home/apt,154,1,91,2023-05-22,2.26,37,349,23,,Marconi
2050,41582839,Condo in Bologna · ★4.79 · 1 bedroom · 2 beds · 1 bath,327258630,Design Club Collection,,Porto - Saragozza,44.49691,11.33882,Entire home/apt,158,1,168,2023-06-07,4.15,37,363,39,,Marconi
2051,41583193,Condo in Bologna · ★4.76 · 1 bedroom · 2 beds · 1 bath,327258630,Design Club Collection,,Porto - Saragozza,44.49912,11.33878,Entire home/apt,165,1,127,2023-03-07,3.47,37,160,26,,Marconi
2052,41583599,Condo in Bologna · ★4.87 · 2 bedrooms · 3 beds · 3 baths,327258630,Design Club Collection,,Porto - Saragozza,44.49772,11.33875,Entire home/apt,278,1,89,2023-05-30,2.2,37,352,19,,Marconi
2053,41583896,Condo in Bologna · ★4.82 · 1 bedroom · 2 beds · 1 bath,327258630,Design Club Collection,,Porto - Saragozza,44.4989,11.34013,Entire home/apt,164,1,50,2023-06-11,1.36,37,342,6,,Marconi
2054,41584391,Rental unit in Bologna · ★4.90 · 1 bedroom · 2 beds · 1 bath,327258630,Design Club Collection,,Porto - Saragozza,44.49734,11.340819999999999,Entire home/apt,158,1,29,2023-04-27,0.72,37,346,13,,Marconi
2055,41584640,Condo in Bologna · ★4.64 · 1 bedroom · 2 beds · 1 bath,327258630,Design Club Collection,,Porto - Saragozza,44.49873,11.34068,Entire home/apt,155,1,22,2023-05-18,0.55,37,359,8,,Marconi
2056,41584994,Condo in Bologna · ★4.81 · 1 bedroom · 2 beds · 1 bath,327258630,Design Club Collection,,Porto - Saragozza,44.49783,11.3408,Entire home/apt,140,1,59,2023-05-18,1.62,37,358,20,,Marconi
2057,41601376,Condo in Bologna · ★4.99 · Studio · 2 beds · 1 bath,202278701,Cristina,,Porto - Saragozza,44.5,11.33522,Entire home/apt,113,1,125,2023-06-18,3.48,1,289,56,037006-AT-01821,Marconi
