id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,march,2019
31941767,Marconi - Garden Suite Apartment - Bologna Centro,192864951,Marco,,Porto - Saragozza,4.449.696,1.133.676,Entire home/apt,65,1,3,03/03/19,3,4,112,march,2019
31941823,Splendido Appartamento,239488475,Vilma,,Borgo Panigale - Reno,44.496,1.129.348,Entire home/apt,50,2,3,24/02/19,3,1,147,march,2019
31941952,Marconi Grey/White Suite Apartment Bologna Centro,192864951,Marco,,Porto - Saragozza,4.449.532,11.338,Entire home/apt,65,1,3,17/02/19,3,4,106,march,2019
31946479,Al Pontelungo,232754647,Gabriella,,Borgo Panigale - Reno,4.451.209,1.128.655,Entire home/apt,82,2,1,13/02/19,1,1,170,march,2019
31964532,Intera casa per coppie,236079145,Maria,,San Donato - San Vitale,4.449.566,1.136.508,Entire home/apt,45,2,2,01/03/19,2,1,231,march,2019
31979012,Green Kharkov || The Place Apartments,160860336,The Place,,San Donato - San Vitale,4.450.562,1.137.667,Entire home/apt,120,2,0,,,22,129,march,2019
31979440,Andy || The Place Bo Apartments,160860336,The Place,,Santo Stefano,444.923,1.134.996,Entire home/apt,80,1,0,,,22,78,march,2019
31979755,Marylin || The Place Apartments,160860336,The Place,,Santo Stefano,4.449.103,1.134.983,Private room,150,1,0,,,22,81,march,2019
31980181,Casa Dolce casa - doppia/singola,239766374,Bruno,,Santo Stefano,444.752,1.136.853,Shared room,20,1,0,,,1,30,march,2019
31981040,Panda's House,239768685,Maddalena&Enrico,,Santo Stefano,4.447.426,11.371,Entire home/apt,37,2,0,,,1,155,march,2019
31986827,#NOME?,237593244,Flavio E Stefano,,Porto - Saragozza,4.449.122,1.134.042,Private room,65,3,0,,,2,166,march,2019
32008262,APP.TO TIPO B - 55 MQ (RESIDENCE CASA TEMPORANEA),129419077,Casa,,San Donato - San Vitale,4.450.744,1.136.158,Entire home/apt,75,1,1,10/02/19,1,3,259,march,2019
32018859,LA TERRAZZA SU BOLOGNA,118409815,Matteo,,San Donato - San Vitale,4.450.464,1.136.553,Entire home/apt,85,2,0,,,4,185,march,2019
32032014,Zer051 SERLIO 8,4322997,Elena,,Navile,4.450.858,1.134.897,Entire home/apt,95,1,0,,,7,329,march,2019
32034037,Joy House_Wellness&SPA Apartment,45136743,Andrea,,Navile,4.453.897,1.136.205,Entire home/apt,150,3,0,,,33,365,march,2019
32055488,D&D Dimora Divincenzo,224033490,Silvia,,Navile,4.450.825,113.432,Entire home/apt,110,1,3,17/02/19,3,1,127,march,2019
32055614,Elegant apartment in the heart of Bologna.,1862967,Giada,,Porto - Saragozza,4.449.883,11.342,Entire home/apt,80,1,0,,,1,357,march,2019
32061269,Realkasa Cartoleria Apartment,228384114,Realkasa,,Santo Stefano,4.448.839,1.134.916,Entire home/apt,85,2,1,28/02/19,1,8,158,march,2019
32066821,"Casa Villanova ""F""",109470669,Claudia,,San Donato - San Vitale,4.449.767,1.142.355,Private room,80,1,0,,,3,80,march,2019
32068773,Secret Room- relax nel centro storico con giardino,201329344,Daniele E Simona,,Santo Stefano,4.449.263,113.553,Entire home/apt,60,2,1,03/03/19,1,1,251,march,2019
32069953,"Casa Villanova ""L""",109470669,Claudia,,San Donato - San Vitale,4.449.906,1.142.193,Private room,45,1,1,24/02/19,1,3,170,march,2019
32083442,Silenziosa e comoda casa condivisa. 4 pax,240613313,Nicola,,Savena,4.446.013,113.707,Private room,300,4,0,,,1,7,march,2019
32087079,Casa Relax,147777145,Barbara,,Porto - Saragozza,4.449.635,1.133.623,Entire home/apt,80,2,0,,,1,15,march,2019
32087679,Cosmoprof Worlwide Bologna - Appartamento 2 camere,216833384,D.M.,,Navile,4.451.742,1.134.081,Entire home/apt,400,2,0,,,2,16,march,2019
32088980,Temporary House Oberdan: in the heart of Bologna,30584188,Marco,,Santo Stefano,4.449.391,113.451,Entire home/apt,90,2,0,,,5,238,march,2019
32101193,Indipendenza Retreats,8188283,Alessandro,,Porto - Saragozza,4.449.713,1.134.272,Entire home/apt,85,1,3,03/03/19,3,20,272,march,2019
32102504,Casa Bella University,152945951,28,,Santo Stefano,4.449.832,1.134.759,Entire home/apt,55,2,0,,,24,349,march,2019
